,,→ParameterNavn,Energi (kJ),"Energi, deklaration (kJ)",Energi (kcal),"Energi, deklaration (kcal)",Protein,Protein fra Aminosyrer,"Protein, deklaration",Kulhydrat difference,Tilgængelig kulhydrat,"Tilgængelig kulhydrat, deklaration",Kostfibre,Fedt,Alkohol,Salt deklaration,Aske,Tørstof,Vand,A-vitamin,Retinol,beta-Caroten,D-vitamin,D3-vitamin,D2-vitamin,25-hydroxy D3-vitamin,25-hydroxy D2-vitamin,E-vitamin,alfa-Tokoferol,beta-Tokoferol,gamma-Tokoferol,delta-Tokoferol,alfa-Tokotrienol,K1-vitamin,Thiamin (B1-vitamin),Thiamin,Riboflavin (B2-vitamin),Niacinækvivalent,Niacin,B6-vitamin,Pantotensyre,Biotin,Folat,Frit folat,B12-vitamin,C-vitamin,Ascorbinsyre,Dehydroascorbinsyre,Natrium,Kalium,Calcium,Magnesium,Rubidium,Jern,Kobber,Zink,Mangan,Krom,Molybdæn,Cobolt,Selen,Aluminium,Silicium,Bor,Fosfor,Fluor,Chlorid,Brom,Jod,Svovl,Nikkel,Kviksølv,Arsen,Cadmium,Bly,Tin,Fruktose,Galaktose,Glukose,Sum monosakkarider,Laktose,Maltose,Sakkarose,Sum disakkarider,Raffinose,Sum sukkerarter,Tilsat Sukker,Frie sukkerarter,Sorbitol,Sum sukkeralkoholer,Stivelse/Glykogen,Cellulose,Lignin,Uopløselige kostfibre,Høj molekylevægt opløselige kostfibre,Lav molekylevægt opløselige kostfibre,Crude fibre,Neutral detergent fibre,L-mælkesyre,D-mælkesyre,Mælkesyre,Citronsyre,Oxalsyre,Æblesyre,Propionsyre,Benzosyre,Sum organiske syrer,C4:0,C6:0,C8:0,C10:0,C12:0,C13:0,C14:0,C15:0,C16:0,C17:0,C18:0,C20:0,C21:0,C22:0,C23:0,C24:0,"C12:1,n-1","C14:1,n-5","C15:1,n-5","C16:1,n-7","C17:1,n-7","C18:1,n-7","C18:1,n-9","C18:1,n-12","C20:1,n-9","C20:1,n-11","C20:1,n-15","C22:1,n-9","C22:1,n-11","C24:1,n-9","C14:1,n-5,trans","C16:1,n-7,trans","C18:1,trans","C20:1,trans","C22:1,trans","C18:2,n-6","C18:2,konjugeret","C18:3,n-3","C18:3,n-6","C18:4,n-3","C20:2,n-6","C20:3,n-3","C20:3,n-6","C20:4,n-3","C20:4,n-6","C20:5,n-3","C21:5,n-3","C22:2,n-6","C22:3,n-3","C22:4,n-6","C22:5,n-3","C22:5,n-6","C22:6,n-3","C18:2,trans","C18:3,trans",Andre fedtsyrer,Sum mættede fedtsyrer,Sum enkeltumættede fedtsyrer,Sum flerumættede fedtsyrer,Sum transfedtsyrer,Sum fedtsyrer under detektionsgrænsen,Sum fedtsyrer,Sum n-3 fedtsyrer,Sum n-6 fedtsyrer,Kolesterol,Nitrogen,Isoleucin,Leucin,Lysin,Methionin,Cystin,Phenylalanin,Tyrosin,Threonin,Tryptofan,Valin,Arginin,Histidin,Alanin,Asparaginsyre,Glutaminsyre,Glycin,Prolin,Serin,Hydroxyprolin,Ornitin,Histamin,Serotonin,Cholin,Tyramin,Phenylethylamin,Putrescin,Cadaverin,Spermin,Spermidin,Sum biogene aminer,Svind,Nitrogen-til-protein faktor,Fedtsyrekonverteringsfaktor,Massefylde,,,
,,→ParameterName,Energy (kJ),"Energy, labelling (kJ)",Energy (kcal),"Energy, labelling (kcal)",Protein,Protein from Amino Acids,"Protein, labeling",Carbohydrate by difference,Available carbohydrates,"Available carbohydrate, labelling",Dietary fibre,Fat,Alcohol,Salt labelling,Ash,Dry matter,Water,Vitamin A,Retinol,beta-Carotene,Vitamin D,Vitamin D3,Vitamin D2,25-hydroxy vitamin D3 ,25-hydroxy Vitamin D2,Vitamin E,alpha-Tocopherol,beta-Tocopherol,gamma-Tocopherol,delta-Tocopherol,alpha-Tocotrienol,Vitamin K1,Thiamin (Vitamin B1),Thiamine,Riboflavin (Vitamin B2),Niacin equivalent,Niacin,Vitamin B6,Pantothenic acid,Biotin,Folate,"Folate, free",Vitamin B12,Vitamin C,Ascorbic acid,Dehydroascorbic acid,Sodium,Potassium,Calcium,Magnesium,Rubidium,Iron,Copper,Zinc,Manganese,Chromium,Molybdenum,Cobalt,Selenium,Aluminum,Silicon,Boron,Phosphorus,Fluorine,Chloride,Bromine,Iodine,Sulfur,Nickel,Mercury,Arsenic,Cadmium,Lead,Tin,Fructose,Galactose,Glucose,Sum monosaccharides,Lactose,Maltose,Sucrose,Sum disaccharides,Raffinose,Sum sugars,Added Sugar,Free Sugars,Sorbitol,Sum sugar alcohols,Starch/Glycogen,Cellulose,Lignin,Insoluble dietary fibers,High molecular weight soluble dietary fibre ,Low molecular weight soluble dietary fibre ,Crude fibre,Neutral detergent fibre,L-lactic acid,D-lactic acid,Lactic acid,Citric acid,Oxalic acid,Malic acid,Propionic acid,Benzoic acid,Sum organic acids,C4:0,C6:0,C8:0,C10:0,C12:0,C13:0,C14:0,C15:0,C16:0,C17:0,C18:0,C20:0,C21:0,C22:0,C23:0,C24:0,"C12:1,n-1","C14:1,n-5","C15:1,n-5","C16:1,n-7","C17:1,n-7","C18:1,n-7","C18:1,n-9","C18:1,n-12","C20:1,n-9","C20:1,n-11","C20:1,n-15","C22:1,n-9","C22:1,n-11","C24:1,n-9","C14:1,n-5,trans","C16:1,n-7,trans","C18:1,trans","C20:1,trans","C22:1,trans","C18:2,n-6","C18:2,conjugated","C18:3,n-3","C18:3,n-6","C18:4,n-3","C20:2,n-6","C20:3,n-3","C20:3,n-6","C20:4,n-3","C20:4,n-6","C20:5,n-3","C21:5,n-3","C22:2,n-6","C22:3,n-3","C22:4,n-6","C22:5,n-3","C22:5,n-6","C22:6,n-3","C18:2,trans","C18:3,trans",Other fatty acids,Sum saturated fatty acids,Sum monounsaturated fatty acids,Sum polyunsaturated fatty acids,Sum trans fatty acids,Sum fatty acids below the detection limit,Sum fatty acids,Sum n-3 fatty acids,Sum n-6 fatty acids,Cholesterol,Nitrogen,Isoleucine,Leucine,Lysine,Methionine,Cystine,Phenylalanine,Tyrosine,Threonine,Tryptophan,Valine,Arginine,Histidine,Alanine,Aspartic acid,Glutamic acid,Glycine,Proline,Serine,Hydroxyproline,Ornithine,Histamine,Serotonin,Choline,Tyramine,Phenylethylamine,Putrescine,Cadaverine,Spermine,Spermidine,Sum biogenic amines,Waste,Nitrogen conversion factor,Fatty acid conversion factor,Density,,,
,,→Unit,kJ/100g,kJ/100g,kcal/100 g,kcal/100 g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,RE (µg/100g),µg/100g,µg/100g,µg/100g,µg/100g,µg/100g,µg/100g,µg/100g,alfa-TE,mg/100g,mg/100g,mg/100g,mg/100g,mg/100g,µg/100g,mg/100g,mg/100g,mg/100g,NE,mg/100g,mg/100g,mg/100g,µg/100g,µg/100g,µg/100g,µg/100g,mg/100g,mg/100g,mg/100g,mg/100g,mg/100g,mg/100g,mg/100g,µg/100g,mg/100g,mg/100g,mg/100g,mg/100g,µg/100g,µg/100g,µg/100g,µg/100g,mg/100g,mg/100g,µg/100g,mg/100g,µg/100g,mg/100g,µg/100g,µg/100g,mg/100g,µg/100g,µg/100g,µg/100g,µg/100g,µg/100g,µg/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,mg/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,g/100g,mg/100g,g/100g,mg/100g,mg/100g,mg/100g,mg/100g,mg/100g,mg/100g,mg/100g,mg/100g,mg/100g,mg/100g,mg/100g,mg/100g,mg/100g,mg/100g,mg/100g,mg/100g,mg/100g,mg/100g,mg/100g,mg/100g,mg/100g,mg/100g,mg/100g,mg/100g,mg/100g,mg/100g,mg/100g,mg/100g,mg/100g,mg/100g,%,No Unit,No Unit,g/ml,,,
↓FødevareNavn,↓FoodName,↓FoodID/→ParameterID,137,316,356,359,218,421,317,170,172,318,168,141,19,327,33,265,268,12,225,303,126,128,127,11,354,135,276,279,286,282,277,164,37,36,39,203,294,40,210,42,143,145,38,47,175,177,201,165,108,184,227,162,166,274,187,117,190,120,230,20,234,44,214,142,114,46,163,253,204,174,32,107,43,260,146,148,149,191,179,185,228,18,222,245,417,418,237,244,243,112,181,414,415,416,123,202,178,125,192,119,209,302,217,41,208,103,104,105,48,49,50,51,56,58,63,65,77,409,89,413,100,401,52,57,59,64,66,67,425,347,78,424,92,90,101,53,60,70,79,93,71,72,74,75,76,80,82,85,349,86,87,428,410,426,411,98,412,99,73,355,24,248,247,251,261,427,340,249,250,115,300,161,180,183,189,124,211,264,258,262,266,31,159,17,34,150,153,216,231,400,423,158,232,116,263,212,221,106,239,238,422,252,219,140,363,↓FoodGroupID,↓FødevareGruppe,↓FoodGroup
"Jordbær, rå","Strawberry, raw",1,162,162,38,38,"0,7","0,5","0,7","8,3","6,9","6,9","1,5","0,6","0,0","0,0","0,4","10,0","90,0","6,7","0,0","40,0","0,00","0,00",,,,"0,41","0,41",,,,,"20,0","0,01",,"0,01","0,57","0,43","0,05","0,13","0,7","117,0","15,0","0,0","66,9","64,8","2,1","0,5","178,6","18,5","12,5",,"0,25","0,04","0,10","0,34","0,07","0,00",,"0,2",,,,"23,8",,,,"0,1",,"3,5","0,00","0,30","0,59","0,31",,"3,16",,"2,85","6,01",,,"0,06","0,06",,"6,07","0,00","0,00","0,00","0,00","0,00","0,59","0,39",,,,,,,,,,,,,"0,03",,,,,,,,,,"0,05",,,,,,,,,,,,,,"0,08",,,,,,,,,,,,,"0,18",,"0,17",,,,,,,"0,00",,,,,,,,,,,,"0,05","0,08","0,35",,,"0,48","0,17","0,18",0,"0,11",24,39,35,10,4,22,11,22,8,29,40,12,31,96,90,25,23,30,,,"0,01","0,00","5,70","0,00",,,,,,"0,01",4,"6,25","0,800",,51,Bærfrugt,Soft fruit
"Æble, uspec., råt","Apple, raw, all varieties",2,233,233,55,55,"0,3","0,2","0,3","14,3","12,1","12,1","2,2","0,2","0,0","0,0","0,3","15,1","84,9","4,2","0,0","25,0","0,00","0,00",,,,"0,25","0,25",,,,,"3,0","0,01",,"0,01","0,17","0,12","0,05","0,07","1,0","9,0","3,0","0,0","8,3","7,8","0,5","0,6","117,9","4,1","4,5",,"0,12","0,03","0,02","0,06","0,11","0,00",,"0,0",,,,"9,5",,,,"0,1",,"0,5","0,00","0,03","0,02","0,15",,"6,05",,"1,76","7,80","0,00","0,00","3,09","3,09",,"10,89","0,00","0,00","0,44","0,44","0,00","0,76","0,00",,,,,,,,,,,,,"0,03",,,,,,,,,,"0,04",,"0,01",,,,,,,,,,,,"0,01",,,,,,,,,,,,,"0,10",,"0,03",,,,,,,"0,00",,,,,,,,,,,,"0,04","0,01","0,13",,,"0,18","0,03","0,10",0,"0,04",9,14,13,3,1,7,4,8,3,10,6,4,11,78,22,8,8,11,,,"0,01",,"5,10","0,00",,,,"0,22","9,86","10,09",10,"6,25","0,800",,49,Kernefrugt,Pome fruit
"Banan, rå","Banana, raw",3,396,396,93,93,"1,1","0,7","1,1","22,6","21,0","21,0","1,6","0,2","0,0","0,0","0,7","24,7","75,4","8,8","0,0","53,0","0,00","0,00",,,,"0,27","0,27",,,,,"0,5","0,04",,"0,01","0,77","0,60","0,31","0,26","1,6","38,0","12,0","0,0","11,2","8,1","3,1","0,0","348,1","6,6","28,1",,"0,25","0,11","0,17","0,46","0,00",,,"0,4",,,,"25,6",,,,"0,0",,"4,1","0,01","0,02","0,01","0,08",,"7,01","0,00","6,93","13,93","0,00","0,01","1,43","1,44",,"15,37","0,00","0,00","0,01","0,01","4,33","0,37","0,27",,,,,,,,,,,,,"0,03",,"0,00","0,00","0,00","0,00","0,00",,"0,00",,"0,07","0,00","0,01","0,00",,"0,00",,"0,00",,"0,00",,"0,01",,"0,00","0,03",,,"0,00",,"0,00","0,00","0,00",,,,,,"0,03",,"0,00",,"0,00","0,00","0,00","0,00",,,"0,00",,,,,"0,00",,"0,00",,,"0,00","0,08","0,04","0,03",,,"0,15","0,00","0,03",0,"0,18",35,89,51,10,3,35,20,33,10,53,49,84,35,117,106,37,38,53,,,"0,01","1,50","9,80","0,21",,,,,,,41,"6,25","0,730",,52,Sydfrugt,Tropical or subtropical fruit
"Kartoffel, uspec., rå","Potato, raw",4,326,326,77,77,"2,0","1,5","2,0","17,3","15,9","15,9","1,4","0,3","0,0","0,0","0,9","20,5","79,5","1,7","0,0","10,0","0,00","0,00",,,,"0,10","0,10",,,,,"16,0","0,06",,"0,06","2,11","1,60","0,20","0,38","0,5","36,0","10,0","0,0","26,4","23,4","3,0","7,0","413,5","6,8","20,4",,"1,04","0,05","0,30","0,23","0,60","0,00",,"0,3",,,,"55,3",,,,"1,2",,"5,8","0,28","1,39","2,07","0,81",,"0,24",,"0,34","0,58","0,00","0,00","0,66","0,66","0,06","1,24","0,00","0,00",,,"16,65","0,89","0,00",,,,,,,,,,,,,"0,03",,,,,,,,,,"0,05",,"0,01",,,,,,,,,"0,00",,,"0,01",,,,,,,,,,,,,"0,07",,"0,09",,,,,,,,,,,,,,,,,,,"0,06","0,01","0,16",,,"0,23","0,09","0,07",0,"0,32",75,110,117,28,17,81,39,68,31,120,84,36,71,428,269,58,71,71,,,,"0,00","12,10","0,10",,,,,,,25,"6,25","0,800",,39,Rod- og knoldgrøntsager,Root and tuber vegetables
"Sødmælk, konventionel (ikke-økologisk)","Milk, whole, konventional (not organic), 3.5 % fat",6,264,264,63,63,"3,4","3,1","3,4","4,4","4,4","4,5","0,0","3,5","0,0","0,1","0,8","12,3","87,7","33,1","30,4","16,0","0,04","0,01","0,00","0,01","0,00","0,06","0,06",,,,,"0,0","0,04",,"0,17","0,86","0,09","0,05","0,36","1,6","11,0","4,0","0,4","1,2","1,2",,"44,3","144,4","115,8","11,0",,"0,02","0,01","0,41","0,00","0,05","5,00",,"1,6",,,,"92,7",,93,,"10,7",,"0,7","0,03","0,30","0,00","0,09",,"0,00","0,00","0,00","0,00","4,60","0,00","0,00","4,60",,"4,60","0,00","0,00",,,"0,00","0,00","0,00",,,,,,,,,"0,19",,,,"0,05","0,19","0,13","0,09","0,05","0,10","0,13",,"0,37","0,04","1,00",,"0,35",,,,,,,"0,03",,"0,05",,"0,03","0,66",,,,,,,,,,"0,11",,,"0,05","0,01","0,01",,,,,,,,,,,,,,,,"0,02",,"0,05","2,25","0,78","0,07","0,13",,"3,28","0,01","0,05",14,"0,54",198,327,306,86,26,172,145,145,46,236,118,97,113,279,681,70,333,193,,,"0,01","0,03","14,30","0,00",,,,,,"0,04",0,"6,38","0,945","1,031",4,Usyrnede mælkeprodukter,Unfermented milk products
"Persille, rå","Parsley, raw",8,201,201,48,48,"3,7","2,7","3,7","7,8","3,7","3,7","4,1","1,2","0,0","0,2","2,1","14,8","85,2","948,3","0,0","5690,0","0,00","0,00",,,,"2,70","2,70",,,,,"790,0","0,12",,"0,30","2,64","1,70","0,20","0,30","0,4","116,0","41,0","0,0","308,0","308,0",,"64,0","641,0","184,5","29,0",,"3,60","0,09","0,46","2,70","7,00","10,00",,"0,1",,,,"72,0",,,,"13,5",,"50,0","1,50","3,00","3,00","19,00",,"0,30",,"0,50","0,80","0,00","0,00","0,00","0,00",,"0,80","0,00","0,00",,,"0,43","1,63","0,59",,,,,,,,,,,,,,,,,,,,,,,"0,16",,"0,01",,,,,,,,,"0,03",,,,,,,,,,,,,,,,"0,27",,"0,46",,,,,,,,,,,,,,,,,,,"0,16","0,03","0,73",,,"0,92","0,46","0,27",0,"0,59",149,255,226,52,18,178,101,154,56,214,154,77,244,368,309,178,267,172,,,,,"12,80",,,,,,,,34,"6,25","0,800",,44,Krydderurter,Herbs
"Pære, rå","Pear, raw",9,207,207,49,49,"0,3","0,2","0,3","14,4","11,1","11,1","3,2","0,1","0,0","0,0","0,3","15,0","85,0","10,8","0,0","65,0","0,00","0,00",,,,"0,58","0,58",,,,,,"0,01",,"0,01","0,28","0,23","0,01","0,05","0,4","16,0","4,0","0,0","6,1","5,3","0,8","0,8","122,3","10,1","6,5",,"0,10","0,07","0,11","0,05","0,02","0,00",,"0,1",,,,"11,2",,,,"0,2",,"8,5","0,01","0,47","0,48","0,16",,"5,97",,"1,67","7,64","0,00","0,00","0,69","0,69",,"8,33","0,00","0,00","2,24","2,24","0,00","0,63","0,40",,,,,,,,,,,,,,,,,,,,,,,"0,01",,"0,00",,,,,,,,,"0,00",,,"0,01",,,,,,,,,,,,,"0,02",,"0,01",,,,,,,,,,,,,,,,,,,"0,01","0,01","0,03",,,"0,05","0,01","0,02",0,"0,05",12,20,20,3,2,12,5,11,3,15,9,6,14,57,31,12,28,15,,,"0,01","0,00","39,65","0,00",,,,,,"0,01",9,"6,25","0,800",,49,Kernefrugt,Pome fruit
